year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_salary,gross_monthly_salary
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology) **,na,na,na,na
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering) **,na,na,na,na
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),92.4,83.3,3933,3953
2013,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),88.9,83.3,3277,3320
2014,Nanyang Technological University,College of Engineering,Aerospace Engineering,84.6,82.7,3715,3911
2013,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),89.2,83.9,3266,3322
2013,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,100,100,4106,4106
2013,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) ** #,na,na,na,na
2013,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),82.1,53.6,3007,3023
2013,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),96.8,96.8,2961,3025
2013,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),89.2,89.2,2839,2988
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Bioengineering),74,60,2823,3068
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),93.2,90,3245,3359
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),96.1,94.1,3140,3154
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),88.9,85.6,3592,3653
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),88.5,88,3286,3334
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),86.2,75.9,2940,2960
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),93.8,87.5,3153,3208
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),93.9,92.4,3330,3397
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),90.9,87.9,3036,3169
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),89.1,87.2,3155,3319
2013,National University of Singapore,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,98.8,98.2,4922,5099
2013,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery (MBBS) #,100,100,4406,4741
2013,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),97.5,97.5,2687,2886
2013,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),100,100,2896,3042
2013,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music **,na,na,na,na
2013,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,na,na,na,na
2013,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),97.3,97.3,2850,2925
2013,National University of Singapore,Faculty of Science,Bachelor of Science,80.9,65.1,2726,2804
2013,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),83.6,74,3101,3217
2013,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,na,na,na,na
2013,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,96.4,96.4,3473,3540
2013,Singapore Management University,School of Accountancy (4-years programme) *,Accountancy (4-years programme),94.2,93.2,3231,3342
2013,Singapore Management University,School of Accountancy (4-years programme) *,Accountancy (4-years programme) Cum Laude and above,95.2,95.2,3580,3634
2013,Singapore Management University,School of Business (4-years programme) *,Business Management (4-years programme),93.2,87.3,3344,3520
2013,Singapore Management University,School of Business (4-years programme) *,Business Management (4-years programme) Cum Laude and above,95.9,93.8,3825,3975
2013,Singapore Management University,School of Economics (4-years programme) *,Economics (4-years programme),90.6,88.6,3389,3513
2013,Singapore Management University,School of Economics (4-years programme) *,Economics (4-years programme) Cum Laude and above,94,94,3731,3820
2013,Singapore Management University,School of Information Systems (4-years programme) *,Information Systems Management (4-years programme),93.6,89.5,3389,3468
2013,Singapore Management University,School of Information Systems (4-years programme) *,Information Systems Management (4-years programme) Cum Laude and above,100,90.9,3786,3862
2013,Singapore Management University,School of Social Sciences (4-years programme) *,Social Sciences (4-years programme),86.5,79.8,3122,3150
2013,Singapore Management University,School of Social Sciences (4-years programme) *,Social Sciences (4-years programme) Cum Laude and above,87.5,83.3,3251,3267
2013,Singapore Management University,School of Law (4-years programme) *,Law (4-years programme) #,100,100,5023,5246
2013,Singapore Management University,School of Law (4-years programme) *,Law (4-years programme) Cum Laude and above #,100,100,5329,5617
2014,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,98.2,95.6,3539,3597
2014,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),96.6,96.1,2981,3003
2014,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),89.6,80.2,3231,3318
2014,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,92.9,89.3,3398,3431
2014,Nanyang Technological University,College of Engineering,Bioengineering,79.8,69.7,2998,3188
2014,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,83.8,76.1,3296,3415
2014,Nanyang Technological University,College of Engineering,Computer Engineering,91.4,88.8,3423,3512
2014,Nanyang Technological University,College of Engineering,Civil Engineering,93.8,92.9,3122,3152
2014,Nanyang Technological University,College of Engineering,Computer Science,94.5,93.7,3269,3304
2014,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,90.7,88.4,3241,3336
2014,Nanyang Technological University,College of Engineering,Environmental Engineering,88.9,82.2,3121,3111
2014,Nanyang Technological University,College of Engineering,Information Engineering and Media,85.7,73.2,3185,3318
2014,Nanyang Technological University,College of Engineering,Materials Engineering,82.5,77.7,3145,3261
2014,Nanyang Technological University,College of Engineering,Mechanical Engineering,90.2,87.8,3161,3289
2014,Nanyang Technological University,College of Engineering,Maritime Studies,92.5,92.5,3163,3206
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",80,68,2761,2791
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,86.8,75.8,2927,3006
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,86.7,77.9,2891,2976
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,88.7,78.4,3183,3222
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,87,63,3137,3432
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,85.7,66.7,3066,3148
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,66.7,54.9,3197,3228
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,73.2,67.9,3002,3143
2014,Nanyang Technological University,College of Sciences,Biomedical Science **,na,na,na,na
2014,Nanyang Technological University,College of Sciences,Biomedical Science (Traditional Chinese Medicine) #,100,100,2974,3018
2014,Nanyang Technological University,College of Sciences,Biological Sciences,75.1,60.8,3083,3174
2014,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,80.5,68.3,3006,3321
2014,Nanyang Technological University,College of Sciences,Mathematics & Economics,88.4,87,3155,3142
2014,Nanyang Technological University,College of Sciences,Mathematical Science,91.3,79.7,3022,3078
2014,Nanyang Technological University,College of Sciences,Physics / Applied Physics,73.7,63.2,3034,3241
2014,Nanyang Technological University,College of Sciences,Sports Science and Management,87.9,69.7,3076,3229
2014,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),100,100,3358,3475
2014,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),100,100,3388,3536
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,81.9,65.3,2719,2883
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),83.1,76.6,3141,3277
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.7,80.1,3192,3304
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration,87.9,83.6,3234,3367
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),94.4,90.6,3979,4090
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),93.9,89.8,2836,2989
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),100,96.3,3350,3407
2014,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),82.1,82.1,3107,3129
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology) **,na,na,na,na
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering) **,na,na,na,na
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),90.6,85.9,3729,3712
2014,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),85.7,85.7,3183,3386
2014,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),95.5,92,3684,3789
2014,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,100,100,4054,4054
2014,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,98.4,95.2,4290,4400
2014,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),77.3,59.1,2600,2603
2014,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),95.3,94.1,3089,3181
2014,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),93.1,89.2,2931,3108
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering) ^^,87.5,77.1,2966,3058
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),83.9,76.4,3277,3434
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),97.1,97.1,3212,3281
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),95.2,92.4,3674,3762
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),90.6,88.1,3306,3571
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),81.3,62.5,3375,3465
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),95.2,92.9,3250,3215
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),96.5,96.5,3591,3719
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),78.6,73.8,3054,3350
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),90,88.5,3160,3323
2014,National University of Singapore,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,98.2,97.6,5027,5247
2014,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery #,100,100,4404,4886
2014,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),100,95.6,2976,3188
2014,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),100,100,3123,3353
2014,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music **,na,na,na,na
2014,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,na,na,na,na
2014,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),95.5,81.8,2760,2831
2014,National University of Singapore,Faculty of Science,Bachelor of Science,76.8,61.4,2804,2973
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),86.6,75.8,3224,3328
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,na,na,na,na
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,98.9,96.7,3467,3670
2014,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-year programme),93.6,91.4,3375,3420
2014,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-year programme) Cum Laude and above,97.4,96.1,3871,3903
2014,Singapore Management University,School of Business (4-year programme) *,Business Management (4-year programme),90.9,86.4,3630,3752
2014,Singapore Management University,School of Business (4-year programme) *,Business Management (4-year programme) Cum Laude and above,94.5,94,4019,4116
2014,Singapore Management University,School of Economics (4-year programme) *,Economics (4-year programme),90.2,83.9,3525,3645
2014,Singapore Management University,School of Economics (4-year programme) *,Economics (4-year programme) Cum Laude and above,90.6,89.1,3815,3824
2014,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-year programme),92.9,80.6,3431,3530
2014,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-year programme) Cum Laude and above,97.4,84.2,4057,4151
2014,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-year programme),90.9,84.1,2981,3166
2014,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-year programme) Cum Laude and above,87.5,81.3,3331,3545
2014,Singapore Management University,School of Law (4-year programme) *,Law (4-year programme) #,97.8,95.6,4932,5332
2014,Singapore Management University,School of Law (4-year programme) *,Law (4-year programme) Cum Laude and above #,97.7,97.7,5089,5571
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design,100,86.7,2490,2490
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,90.6,84.4,2586,2603
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design,100,100,2932,2955
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,100,100,2859,2910
2014,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,89.1,78.3,2547,2595
2014,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,93.9,90.9,2553,2583
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,90.1,84.5,3041,3325
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,92.6,88.9,3208,3334
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,97.1,85.7,3196,3273
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,100,94.1,3293,3467
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,91.3,91.3,3311,3467
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,75,61.4,2806,2854
2014,Singapore Institute of Technology,Technische Universit�t M�nchen,Bachelor of Science in Chemical Engineering,86.7,86.7,2954,3285
2014,Singapore Institute of Technology,Technische Universit�t M�nchen,Bachelor of Science in Electrical Engineering & Information Technology,85.7,82.1,3072,3141
2014,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,89.3,89.3,2430,2503
2014,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Occupational Therapy),100,100,3127,3151
2014,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Physiotherapy),100,100,3204,3229
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,88,88,3396,3415
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,85.7,75,3217,3333
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,92.3,92.3,3229,3424
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,93,87.3,3067,3209
2014,Singapore Institute of Technology,University of Manchester,Bachelor of Science with Honours in Nursing Practice,97.2,94.4,3230,3464
2014,Singapore Institute of Technology,"University of Nevada, Las Vegas",Bachelor of Science (Major in Hospitality Management),88.8,78,2445,2634
2014,Singapore Institute of Technology,Wheelock College,Bachelor of Science in Early Childhood Education,97.1,97.1,2509,2553
2015,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,98.6,97.3,4225,4438
2015,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),97.3,96.5,3182,3240
2015,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),92.2,87.6,3343,3502
2015,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,100,100,4036,4395
2015,Nanyang Technological University,College of Engineering,Aerospace Engineering,86,86,3699,3724
2015,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics **,na,na,na,na
2015,Nanyang Technological University,College of Engineering,Bioengineering,92.6,76.5,3079,3197
2015,Nanyang Technological University,College of Engineering,Business and Computer Engineering **,na,na,na,na
2015,Nanyang Technological University,College of Engineering,Chemical And Biomolecular Engineering,86.8,80.9,3156,3373
2015,Nanyang Technological University,College of Engineering,Chemical And Biomolecular Engineering and Economics **,na,na,na,na
2015,Nanyang Technological University,College of Engineering,Computer Engineering,85.1,83,3489,3577
2015,Nanyang Technological University,College of Engineering,Civil Engineering,95.3,93,3125,3206
2015,Nanyang Technological University,College of Engineering,Computer Science,92.4,91.4,3489,3535
2015,Nanyang Technological University,College of Engineering,Electrical And Electronic Engineering,88.6,86.2,3345,3446
2015,Nanyang Technological University,College of Engineering,Environmental Engineering,89.7,82.1,3472,3673
2015,Nanyang Technological University,College of Engineering,Environmental Engineering and Economics **,na,na,na,na
2015,Nanyang Technological University,College of Engineering,Information Engineering And Media,87.3,80,3271,3375
2015,Nanyang Technological University,College of Engineering,Information Engineering And Media and Economics **,na,na,na,na
2015,Nanyang Technological University,College of Engineering,Materials Engineering,82.9,76.8,3213,3397
2015,Nanyang Technological University,College of Engineering,Mechanical Engineering,88,80.7,3248,3388
2015,Nanyang Technological University,College of Engineering,Mechanical Engineering and Economics **,na,na,na,na
2015,Nanyang Technological University,College of Engineering,Maritime Studies,95,95,3249,3271
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",79.3,56.9,3284,3457
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,81.8,76.6,2978,3045
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,85.1,74.4,2921,3008
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,87.4,75.9,3322,3496
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,88,74,3238,3322
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,88.4,55.8,3475,3753
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,73.3,52,3099,3264
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,85.7,79.4,3260,3402
2015,Nanyang Technological University,College of Sciences,Biomedical Science (Traditional Chinese Medicine) #,100,100,2832,2882
2015,Nanyang Technological University,College of Sciences,Biological Sciences,74.6,65.3,3117,3229
2015,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,83.9,72.3,2960,3139
2015,Nanyang Technological University,College of Sciences,Mathematics & Economics,95.3,84.4,3291,3440
2015,Nanyang Technological University,College of Sciences,Mathematical Science,81.8,72.7,3254,3402
2015,Nanyang Technological University,College of Sciences,Physics / Applied Physics,82.1,69.6,3098,3186
2015,Nanyang Technological University,College of Sciences,Sports Science and Management,90.7,72.1,3232,3307
2015,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),100,100,3496,3604
2015,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),100,100,3551,3622
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,88.4,74.6,2839,2999
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),83,70.5,3266,3310
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.6,79.8,3317,3442
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration,88.2,80.3,3164,3341
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),96,93.1,4173,4326
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),97.6,97.6,2817,2983
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),98.6,98.6,3547,3587
2015,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),92.6,85.2,3230,3291
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology) **,na,na,na,na
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering) **,na,na,na,na
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),97,95,3847,3890
2015,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),90.3,87.1,3255,3301
2015,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),97.2,97.2,3597,3699
2015,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,100,100,4053,4083
2015,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,97.6,96.4,4054,4099
2015,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),72,60,2907,2908
2015,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),94.3,90.8,2989,3067
2015,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),93.9,89.6,3146,3325
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),86.2,75.9,3256,3357
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),86,82.9,3400,3529
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),96.5,95.3,3300,3366
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),91.8,90.6,4119,4252
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),92.1,90.4,3452,3589
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),82.6,73.9,3768,3812
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),88.1,85.7,3318,3337
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),96.1,94.7,3624,3724
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),100,95,3121,3391
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),83.3,80,3279,3422
2015,National University of Singapore,Faculty of Law,Bachelor of Laws (L.L.B) (Hons) #,96.9,96.9,4866,4910
2015,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery #,100,100,4352,4729
2015,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),97.3,97.3,3175,3356
2015,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),100,100,3219,3466
2015,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music,82.4,41.2,3244,3344
2015,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,na,na,na,na
2015,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),85.2,77.8,3203,3355
2015,National University of Singapore,Faculty of Science,Bachelor of Science,84.3,64.2,2859,3052
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),83.9,76.2,3245,3321
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,na,na,na,na
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,99,97.9,3431,3717
2015,National University of Singapore,Multi-Disciplinary Programme,Bachelor of Environmental Studies,71.9,59.4,3400,3433
2015,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy,97.3,93,3287,3427
2015,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy Cum Laude and above,97.7,97.7,3597,3701
2015,Singapore Management University,School of Business (4-year programme) *,Business Management,93.9,88.2,3513,3611
2015,Singapore Management University,School of Business (4-year programme) *,Business Management Cum Laude and above,98.3,93.3,4050,4130
